"","V1"
"73","Influence of hydrostatic pressure on the moisture absorption of glass fibre-reinforced polyester@@@@@@Received: 17 June 1988 Accepted: 27 September 1988 Issue Date: May 1989@@@The moisture absorption characteristics of glass fibre-reinforced polyester in simulated deep sea water environments have been investigated. Test panels of unsaturated isopthalic polyester resin reinforced with woven E-glass were prepared by hand lay-up and the mass gain occurring during immersion in sea water pressurized up to 80 MPa was monitored. Moisture ingress followed a modified form of Fick's second law of diffusion. The saturation moisture content was shown to be linearly dependent upon the vapour pressure equivalent of hydrostatic pressure. In the case of diffusivity, a systematic relationship with hydrostatic pressure was not observed.@@@Vapour Pressure
Hydrostatic Pressure
Modify Form
Mass Gain
Moisture Absorption"
"74","ESR studies of thin amorphous films of MoO3-effects of substrate temperature, film thickness and annealing procedures@@@@@@Received: 28 March 1988 Accepted: 29 July 1988 Issue Date: May 1989@@@Electron spin resonance spectra of thin films of amorphous MoO3 are presented. An increase in spin density associated with increased Mo(V) concentration is found to occur with increased substrate deposition temperature. Plots of spin density against film thickness show a linear relationship, and reveal a significant residual spin density when extrapolated to zero thickness. Resonance signals are observed atg = 1.92 andg = 2.0 which are attributed to Mo(V) and Mo(III), respectively; that atg = 1.92 vanishes on annealingin vacuo at 250° C. Colour centres observed at higher substrate temperatures are probably due to the presence of Mo(III).@@@Electron Spin Resonance
Film Thickness
Substrate Temperature
MoO3
Electron Spin Resonance Spectrum"
"75","Moisture absorption characteristics of rubber particulate filled epoxy adhesives@@@@@@Received: 18 March 1988 Accepted: 28 July 1988 Issue Date: May 1989@@@Results are reported for the moisture absorption characteristics of bisphenol epoxy adhesives containing between 8 and 12% rubber particles by weight. The maximum moisture content and the initial rate of absorption were determined for specimens maintained at temperatures of 23 and 60° C in atmospheres with relative humidities of 12, 76 and 100%. The swelling of samples immersed in water was also determined. Unlike many other epoxy systems, the maximum moisture content was found to vary appreciably with temperature, as well as with relative humidity, and the initial rate of absorption was found to decrease substantially with increasing relative humidity, especially at higher temperatures. While the maximum moisture content was essentially independent of rubber content and cure treatment, the initial rate of absorption was found to be sensitive to both factors.@@@Polymer
Atmosphere
Relative Humidity
Epoxy
Rubber"
"76","Crystallization of gels in the SiO2-Al2O3-ZrO2 system@@@@@@Received: 29 February 1988 Accepted: 12 September 1988 Issue Date: May 1989@@@The preparation of glasses and ceramics from gels in the ternary system of SiO2-Al2O3-ZrO2 has been investigated. The phase relations in this system suggest the existence of a stable joint between mullite and ZrO2 in addition to the joint between mullite and zircon. The gel technique allows metastable ZrO2 particles to be readily dispersed in alumino-silicate matrices.@@@Polymer
Crystallization
Zircon
Ternary System
Phase Relation"
"77","A study of electron spin resonance of copper phosphate glasses containing tellurium oxide@@@@@@Received: 10 May 1988 Accepted: 12 September 1988 Issue Date: May 1989@@@Electron paramagnetic resonance in glasses of compositions (P2O5)100−x-(CuO)x and (P2O5)50-(TeO2)50−x-(CuO)x where x varied from 20 to 40 mol% has been investigated. The distribution of the copper between the two main valency states is determined from measurements of e.s.r. arising from the Cu2+ centres. The study of e.s.r. enables the distribution of copper in the glasses between the different valency states to be determined and thus indirectly provides evidence for hopping conduction in the glasses. From the results of e.s.r. and the chemical analysis of the samples it is found that the reduced valency ratioC, i.e. the ratio of the concentration of Cu+ ions to that of total copper in the glass, increases with increasing CuO content.@@@Oxide
Polymer
Copper
Phosphate
Chemical Analysis"
"78","Rate and temperature effects on crack blunting mechanisms in pure and modified epoxies@@@@@@Received: 10 March 1988 Accepted: 25 July 1988 Issue Date: May 1989@@@The failure mechanisms of several epoxy polymers (including pure, rubber- and particulatemodified, as well as rubber/particulate hybrid epoxies) were investigated over a wide range of strain rates (10−6 to 102 sec−1) and temperatures (−80 to 60° C). A substantial variation in fracture toughness, GIc, with rate was observed at both very high and very low strain rates. Under impact testing conditions, GIc for both pure and rubber-modified epoxies displayed peaks at about 23 and −80° C which appeared to correlate with the corresponding size of the crack tip plastic zone. In order to explain these rate and temperature-dependent GIc results, two separate crack blunting mechanisms were proposed: thermal blunting due to crack tip adiabatic heating and plastic blunting associated with shear yield/flow processes. Thermal blunting was found to occur in the pure- and rubber-modified epoxies under all impact testing conditions and temperatures above 0° C. For temperatures below −20° C under impact conditions, the fracture toughness is dependent on viscoelastic loss processes and not thermal blunting. Plastic blunting was predominant at very slow strain rates less than 10−2 sec−1 for the pure- and rubber-modified epoxies and at impact strain rates for the fibre and hybrid epoxies. Microstructural studies of fracture surfaces provided some essential support for the two proposed crack blunting mechanisms.@@@Epoxy
Fracture Toughness
Plastic Zone
Epoxy Polymer
Slow Strain Rate"
"79","Effect of sulphur on the hydrogen trapping phenomena at the grain boundary in iron@@@@@@Received: 10 March 1988 Accepted: 27 July 1988 Issue Date: May 1989@@@The hydrogen trapping phenomena at grain boundaries in the iron-sulphur system were investigated by the hydrogen thermal analysis technique. The specimens were heat treated to produce the same grain size, and the concentration of sulphur at the grain boundaries was controlled by isochronal treatment at various temperatures. The peak height related to the hydrogen released from the grain boundaries decreased with increasing sulphur content at the grain boundaries. It is suggested that the variations in peak height may be attributed to the lowering of the trap binding energy due to sulphur segregation and the site competition effect between the segregated sulphur and hydrogen which are trapped at the grain boundaries.@@@Hydrogen
Iron
Polymer
Sulphur
Grain Size"
"80","Improvement of creep-rupture properties of wrought cobalt-based HS-21 alloys at high temperatures@@@@@@Received: 15 April 1988 Accepted: 07 September 1988 Issue Date: May 1989@@@The improvement of creep-rupture properties by serrated grain boundaries is investigated using wrought cobalt-based HS-21 alloys in the temperature range 816 to 1038° C (1500 to 1900°F). Serrated grain-boundaries are produced in the early stage of the grain-boundary reaction (GBR) by a heat treatment. Specimens with serrated grain boundaries have superior creep-rupture properties compared with those with normal straight grain boundaries. The rupture lives of specimens with serrated grain boundaries are more than twice as long as those of specimens with straight grain boundaries. The rupture elongation is considerably improved by serrated grain boundaries especially at lower temperatures. A ductile grain-boundary fracture is observed in specimens with serrated grain boundaries, while brittle grain boundary facets prevail in specimens with straight grain boundaries.@@@Polymer
Heat Treatment
Brittle
Rupture Life
Boundary Facet"
"81","Composition and microstructure of silicon carbide whiskers@@@@@@Received: 18 March 1988 Accepted: 28 July 1988 Issue Date: May 1989@@@The bulk and surface chemistries of four sets of commercially available SiC whiskers made by three manufacturers were determined. The oxygen content varied significantly, ranging in the bulk from 1.9 to 0.6 at.% and on the surface from 35 to 15 at.%. Surface analysis as obtained by X-ray photoelectron spectroscopy also indicated that the oxygen species differed significantly with whisker supplier; each of three of the whisker sets contained a surface species that is very similar to that found in a Si-O-C glass, while one whisker surface appeared to have a silica-rich surface. Surface carbon concentrations varied significantly, while silicon concentrations did not. Scanning transmission electron micrographs indicate significant morphological variations (i.e., twinning, branching, kinks, surface roughness, etc.) occur in all of the whisker types.@@@Carbide
Surface Roughness
Silicon Carbide
Morphological Variation
Carbon Concentration"
"82","Brittle fracture of low molecular weight polymers@@@@@@Received: 09 May 1988 Accepted: 12 September 1988 Issue Date: May 1989@@@A new model is presented to predict the fracture energy of polymers with molecular weights smaller than the threshold value for the formation of chain entanglements. A fracture mechanism is assumed that calls for the sliding of the polymer chains in a microscopic craze at the crack tip. The plastic work is related to the chain interpenetration distance, which has been derived from the solution of the Fokker-Planck equation. The predictions of the model agree with experimental data of the fracture energy of polystyrene.@@@Polymer
Experimental Data
Molecular Weight
Brittle
Polystyrene"
